product_code,product_name,cat_name,subcat_name,description,brand_name,unit_name,buy_price,sell_price,min_stock
8941168005815,Kaju Delight ,Biscuit,,,Ifad group,BOX,53.14,75,
8941168005754,Butter delight ,Biscuit,,,Ifad group,BOX,41.53,55,
8941100801307,Horlicks biscuits,Biscuit,,,Thai food ,BOX,40,50,
8941100800140,Nimki Biscuits,Biscuit,,,Thai food ,BOX,40,50,
98608843,Morning fresh tost (plain toast),Biscuit,,,Well food ,PCS,48,60,
98608942,Morning fresh tost (ghee toast),Biscuit,,,Well food ,PCS,55,65,
98609147,Morning fresh tost (garlic toast),Biscuit,,,Well food ,PCS,33,40,
8941133000500,Namkin Biscuits ,Biscuit,,,Fu wang food ,PCS,50,60,
8941100801505,Ovaltine Biscute ,Biscuit,,,Thai food ,PCS,40,50,
8941114006101,Grisbi ,Biscuit,,,Kishuan ,PCS,40,50,
846656012079,Mama wafer ( chocolate) ,Biscuit,,,\N,PCS,25,30,
811156088343,Twinkie Twinkie (straw),Biscuit,,,Olympic LTD ,PCS,13,15,
811106134144,Nutty Biscuits,Biscuit,,,Olympic LTD ,PCS,12.983,15,
8941152011334,Florida Orange Biscuits,Biscuit,,,Denish ,PCS,8.67,10,
940011606153,Funfill,Biscuit,,,Thai food ,PCS,8,10,
8941152000383,Doreo Biscuits,Biscuit,,,Denish ,PCS,40,50,
8941128001727,tiffin Biscite ,Biscuit,,,Globe ,PCS,8.07,10,
8941194003816,Digestive Biscuits,Biscuit,,,Hauque Ltd ,PCS,21.5,25,
8941152000437,Danish Toast Biscuits,Biscuit,,,Denish ,PCS,41.53,50,
887595482356,Toast Biscuits (bingo),Biscuit,,,Bengale,PCS,40,50,
8941128002199,Sweet Toast (globe),Biscuit,,,Globe ,PCS,50,60,
65089170,Butter Toast,Biscuit,,,Well food ,PCS,65,80,
8941194004004,Mr Energy,Biscuit,,,Hauque Ltd ,PCS,28.57,38,
811101020244,Energy Plus,Biscuit,,,Olympic LTD ,PCS,33,38,
8941152000222,Florida Orange Biscuits 210gm,Biscuit,,,Denish ,PCS,27.69,35,
811102040258,Tip Biscuits,Biscuit,,,Olympic LTD ,PCS,42.943,50,
8941133000159,Dia salt Biscuits,Biscuit,,,Fu wang food ,PCS,55,65,
8941152000352,Milk Marie,Biscuit,,,Denish ,PCS,37.14,50,
8941194003991,Mr Energy 80gm,Biscuit,,,Hauque Ltd ,PCS,11,13,
8941128007415,Royal tiger,Soft drink ,,,Globe Soft Drinks Ltd.,PCS,21,25,
846656001929,Fit Crakers 130 gm,Biscuit,,,Pran LTD,PCS,23.33,30,
8901233013114,Oreo 100 gm,Biscuit,,,Cadberry,PCS,45,65,
8901233016900,Oreo 150 gm,Biscuit,,,Cadberry,PCS,65.952,85,
8901233019451,Perk ,chocolate,,,Cadberry,PCS,8,15,
8992952132507,Cho Cho,chocolate,,,Cadberry,PCS,8,15,
