B O777435,Blush -On,Blush -on,,,PASTEL,pcs,1040,1300,1,2,Sumon
N777436,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1,23,karim
M777437,Mascara,maskara ,,,PASTEL,pcs,472,600,1,,jaynal
Li777438,Lipstick ,Lipestic ,,,PASTEL,pcs,300,375,1,4,
N777439,Nail Polish,NALPOLIS ,,,PASTEL,pcs,200,250,1,,
Li777440,Matte Lipestic,Lipestic ,,,PASTEL,pcs,376,470,1,,
M777441,Eyebrow Mascara,maskara ,,,PASTEL,pcs,300,375,1,5,karim
BS777443,Body Spray,BODY SPRAY,,,PASTEL,pcs,272,340,1,,
Co777444,Liquid Concealer,Concealer,,,PASTEL,pcs,500,625,1,7,
Li777445,Lipstick ,Lipestic ,,,PASTEL,pcs,500,625,1,,
P777446,Powder,POWDER,,,PASTEL,pcs,392,490,1,6,jaynal
1.12E+11,Eyebrow Duo,Eyebrow Dou,,,PASTEL,pcs,352,440,1,,
D777448,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1,6,
P777449,Wet & Dey Powder,POWDER,,,PASTEL,pcs,1040,1300,1,,
ESH777450,Metallic Eyeshadow,EYE SHADOW,,,PASTEL,pcs,1040,1300,1,,
Hig777451,Stardust Highlighter,Highlighter,,,PASTEL,pcs,376,470,1,,
Co777452,Liquid Concealer,Concealer,,,PASTEL,pcs,500,625,1,2,
D777453,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1,,
Li777454,Nude Lipstick,Lipestic ,,,PASTEL,pcs,360,450,1,,
N777455,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1,4,
Ro777457,Snob Roll-on,Rolon,,,PASTEL,pcs,272,340,1,3,
Co777458,Liquid Concealer,Concealer,,,PASTEL,pcs,500,625,1,,
Li777459,Nude Lipstick,Lipestic ,,,PASTEL,pcs,360,450,1,3,
Li777460,Daylong Lipcolor KIssproof,Lipestic ,,,PASTEL,pcs,660,825,1,,
N777461,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1,3,
Li777462,Matte Lipstick,Lipestic ,,,PASTEL,pcs,376,470,1,,
D777463,Waterproof Dipliner,Dipliner,,,PASTEL,pcs,548,685,1,3,
Hig777464,Stardust Highlighter,Highlighter,,,PASTEL,pcs,376,470,1,,
Li777466,Daylong Lipcolor KIssproof,Lipestic ,,,PASTEL,pcs,660,825,1,3,
N777467,Nude Nail Polish,NALPOLIS ,,,PASTEL,pcs,200,250,1,,
N777468,Nail Polish,NALPOLIS ,,,PASTEL,pcs,160,200,1,,
M C92231,Astral Moisturiser,Moisture cream ,,,Astral ,pcs,320,500,1,,
CR100578,Astral Cream,CREAM,,,Astral ,pcs,350,500,1,,
B L112233357,aveeno Baby Lotion,BODY LOTION,,,Aveeno,pcs,590,750,1,4,
CR112233358,Aveeno Baby Cream,CREAM,,,Aveeno,pcs,920,1150,1,,
CR100577,Aveeno Cream,CREAM,,,Aveeno,pcs,500,700,1,,
CR100598,Aveeno Daily Moisturising,CREAM,,,Aveeno,pcs,500,700,1,,
CROI900,Aveeno Moisturising Cream,CREAM,,,Aveeno,pcs,1150,1350,1,5,
A FRMI021,Aroma  Queen Air Freshner,Air Freshener ,,,Aroma,pcs,210,300,1,,
BSPBL183,Jovan Body Spray,BODY SPRAY,,,Jovan,pcs,196,245,1,,
BSPBL189,Jovan Black Musk Body Spray,BODY SPRAY,,,Jovan,pcs,196,245,1,,
PERFUME35286474,Polo Ralph Lauren Blue,PERFUME,,,POLO,pcs,5100,7000,1,6,
PERFUME35286541,Polo Sport Palph Lauren,PERFUME,,,POLO,pcs,3700,5000,1,8,
PERFUMEB I B P L304,Polo Ralph Lauren Blue,PERFUME,,,POLO,pcs,4700,7000,1,,
PERFUMEB I B P L305,Polo Black Ralph Lauren ,PERFUME,,,POLO,pcs,4700,7000,1,1,
TPOI857,Charcoal Toothpaste,Tooth Paste,,,Charcoal,pcs,280,400,1,7,
LiTEIL031,Matte Lipcolour,Lipestic ,,,Colormax,pcs,900,1500,1,,
TP112233339,Signal Cavity Fighter,Tooth Paste,,,Signal,pcs,180,250,1,,
CR8889901227,Bio Active Cream ,CREAM,,,Bio Active,pcs,420,600,1,6,
SU8889901228,Sun Protection Cream,Sun Screen ,,,Bio Active,pcs,420,600,1,,
CR100562,Bio Cream,CREAM,,,Bio Active,pcs,420,600,1,7,
Ma100564,Bio Mask,Marks,,,Bio Active,pcs,280,350,1,6,
CR100566,Bio Cream,CREAM,,,Bio Active,pcs,420,600,1,2,
FWM/S  S  E357,Whiteing Milk Face Wash,Face Wash ,,,Bio Active,pcs,180,250,1,1,
