TP       TE005,Toothpast,Tooth Paste,,,Aquafresh,100ml,190,260,1
T B9814,Aquafresh tooth Brush,Tooth Brush ,,,Aquafresh,pcs,38,75,1
TP14202,Toothpast ,Tooth Paste,,,Aquafresh,50ml,165,220,1
TP14210,Toothpast ,Tooth Paste,,,Aquafresh,75ml,175,250,1
TP14247,Aquafresh Tooth Past,Tooth Paste,,,Aquafresh,pcs,180,240,1
TP14255,Aquafreah 6+Year,Tooth Paste,,,Aquafresh,pcs,170,220,1
TP14258,Aquafreah White,Tooth Paste,,,Aquafresh,pcs,200,260,1
TP14285,Aquafresh ,Tooth Paste,,,Aquafresh,pcs,180,260,2
TP14291,Aquafresh 3-5year,Tooth Paste,,,Aquafresh,pcs,180,220,2
TP14295,Aquafresh Big,Tooth Paste,,,Aquafresh,pcs,170,220,2
TP1234567020,Aquafresh tooth Past,Tooth Paste,,,Aquafresh,pcs,145,220,2
TP14329,Aquafresh,Tooth Paste,,,Aquafresh,pcs,160,220,1
TP14330,Aquafresh,Tooth Paste,,,Aquafresh,pcs,160,220,1
BS9086,Body Spray,BODY SPRAY,,,ORIANE,pcs,248,310,1
BS9104,Oriane Body Spray,BODY SPRAY,,,ORIANE,pcs,248,310,1
N9087,NAil polis,NALPOLIS ,,,ALAX AVIEN,pcs,220,275,1
k9088,Kajol,KAJOL,,,ALAX AVIEN,pcs,600,750,1
M R9089,Makup Remuber,Makap remobar ,,,ALAX AVIEN,pcs,260,325,1
EP9090,Eye Pencil,Eye Pancil,,,ALAX AVIEN,pcs,552,690,1
k9092,Smoky Eyes Kagol,KAJOL,,,ALAX AVIEN,pcs,624,780,1
FP9093,face powder,Face powder,,,ALAX AVIEN,pcs,1040,1300,1
M R9094,Makup Remuber Pads,Makap remobar ,,,ALAX AVIEN,pcs,260,325,1
Li9095,Diamond Lipestic,Lipestic ,,,ALAX AVIEN,pcs,416,520,1
Li9096,Matte Lipestic,Lipestic ,,,ALAX AVIEN,pcs,464,580,1
M9097,Maskara,maskara ,,,ALAX AVIEN,pcs,560,700,1
EP9098,Eye Pancil,Eye Pancil,,,ALAX AVIEN,pcs,712,890,1
N9099,Nail Enamel,NALPOLIS ,,,ALAX AVIEN,pcs,152,190,1
k9101,Smoky Kagol,KAJOL,,,ALAX AVIEN,pcs,712,890,1
k9103,Kagol,KAJOL,,,ALAX AVIEN,pcs,264,330,1
S14219,Kerotin Shampoo,SHAMPOO,,,KEROTIN ,500ml,430,600,1
S9853,Rejoice Shampoo,SHAMPOO,,,REJOICE,pcs,540,750,1
c91293,Conditioner,Conditionar,,,REJOICE,pcs,370,500,1
S9754,Clear Man Shampoo,SHAMPOO,,,CLEAR,pcs,310,400,1
S91032,Clear Man Shampoo,SHAMPOO,,,CLEAR,pcs,470,650,1
