product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"0000234","Hijab Clip","Hair Clip","saree",,,"Piece","24","42"
"0002392","Saruane panjabe","silk","saree",,,"Piece","2400","3120"
"6923992584270","super battery","betre","saree",,,"Piece","5","10"
"10008562012001","sony btter","sony","saree",,,"Piece","10","20"
"8855629363737","white spa lotion","cosmetics","loution",,,"Piece","140","210"
"8901030547492","axe signature","perfume","axe",,,"Piece","270","380.7"
"8901526102655","loreal paris","shampoo","loreal",,,,"750","1050"
"8992304035371","loreal paris 450ml","shampoo","loreal",,,,"380","570"
"8901030421402","tresemme 580ml","shampoo","tresemme",,,"Piece","580","750.06"
"8901030573200","tresemme smooth 200ml","shampoo","tresemme smooth and shine",,,"Piece","230","300.38"
"8901030573170","tresemme keratin","shampoo","tresemme keratin smooth",,,"Piece","155","300.24"
"8901030637353","fair & lovely 80gm","cosmetics","fair & lovely",,,"Piece","185","280"
"6123571030109","fair & lovely 50 gm","cosmetics","fair & lovely",,,,"118","129.8"
"8901030565328","fair & lovely 50 gm","cosmetics","fair & lovely",,,"Piece","118","170"
"8901030573484","Clinic Plus 340 ml","shampoo","Clinic Plus",,,,"300","420"
"0001659","Clean&Clear","shampoo","Clinic Plus",,,"Piece","195","195"
"8901030573460","Clinic Plus 175 ml","shampoo","Clinic Plus s",,,,"155","255"
"8901314077509","Colgate Plax 100 ml","Mouth Wash","Colgate Plax",,,,"80","100"
"8901314077981","Colgate Plax 250 ml","Mouth Wash","Colgate Plax",,,,"160","184"
"8906006432383","KIWI LINK","Shoe Link","Kiwi link",,,,"100","120"
"8906006432505","Kiwi Shoe Shine","Shoe Link","Kiwi link",,,"Piece","110","165"
"8901526212255","garnier color naturals","Hair colour","Garnier Color",,,"Piece","200","280"
"8901526204151","Garnier Color Red 40 g","Hair colour","Garnier Color",,,,"260","364"
"8901526204731","Garnier Colour naturals Black Small","Hair colour","Garnier Color",,,"Piece","100","150"
"8901526206377","Garnier Colour naturals Brown Small","Hair colour","Garnier Color",,,"Piece","95","130.15"
"8901526204458","Garnier Hair Color","Hair colour","Garnier Color",,,"Piece","205","330"
"8901571004096","Sensodyne","Pest","Sensodyne",,,,"155","195"
"0000294","Sensodyne","Pest","Sensodyne",,,"Piece","55","220"
"5000347022999","Sensodyne Pro Namel","Pest","Sensodyne",,,"Piece","390","480"
"8901571004614","Sensodyne Pest","Pest","Sensodyne",,,"Piece","155","195"
"8901314218605","Colgate Zigzag","Toothbrush","Zigzag",,,,"35","50"
"8901314306265","Colgate ZigZag","Toothbrush","Zigzag",,,"Piece","40","80"
"8901314116345","Colgate Slimsoft","Toothbrush","Slim Soft",,,,"85","119"
"8906014765978","Bajaj Oil 200 ml","Hair Oil","Bajaj Oil",,,"Piece","190","250"
"0000679","Bajaj Oil B","Hair Oil","Bajaj Oil",,,"Piece","220","250.14"
"8906014765961","Bajaj Oil S","Hair Oil","Bajaj Oil",,,"Piece","95","130"
"8901030450990","Ponds Sandal 300 g","powder","Ponds sandal",,,,"270","378"
"8901030450709","Ponds Sandal 100 g","powder","Ponds sandal",,,,"110","143"
"8901030323867","Ponds Sandal 300 g","powder","Ponds sandal",,,"Piece","265","380"
"8901030323782","Ponds Dreamflower400 g","powder","Ponds Dreamfiower",,,"Piece","325","455"
"8901030450976","Ponds Powder DreamFlower 400g","powder","Ponds Dreamfiower",,,"Piece","250","325"
"8901030583896","Ponds Dreamflower 100 g","powder","Ponds Dreamfiower s",,,,"110","160"
"8908001158022","Whitetone 70g","powder","Whit tone",,,"Piece","135","185"
"8908001158077","WhiteTone 30g","powder","Whit tone",,,,"70","110"
"8908001158299","WhiteTone 50g","powder","Whit tone",,,,"105","150"
"8901088062398","Livon oil 100 ml","Hair Oil","Livon oil",,,,"290","435"
"8901450003592","Envy1000","Body Spray","Envy1000",,,,"180","234"
"8901450004735","Envy 1000 Body Spray","Body Spray","Envy1000",,,"Piece","250","350"
"8901450004711","Envy 1000 Body Spray","Body Spray","Envy1000",,,"Piece","250","350"
"8901450004728","Envy 1000 Body Spray","Body Spray","Envy1000",,,"Piece","250","350"
"8901030595783","Lakme eyeconin","Kajal","eyeconic",,,,"210","350"
"0000490","nior","Kajal","eyeconic",,,"Piece","30","52.2"
"6946537005757","Colossal","Kajal","Colossal",,,,"180","300"
"8901138512460","Himalaya Neem Facewash 100 ml","Facewash","Himalaya",,,,"162","250"
"8901138512187","Himalaya Neem Facewash 50 ml","Facewash","Himalaya",,,,"78","110"
