product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"8710908777004","Dove Body Lotion S","Body lotion","Body Lotion",\N,\N,"Piece","245","390"
"8710908779558","Dove Body Lotion S","Body lotion","Body Lotion",\N,\N,"Piece","245","355"
"8710908778322","Dove Body Lotion S","Body lotion","Body Lotion",\N,\N,"Piece","245","355"
"8711700887922","Dove Body Lotion S","Body lotion","Body Lotion",\N,\N,"Piece","260","360"
"4005808725458","Nivea Lotion 200ml","Body lotion","Body Lotion",\N,\N,"Piece","270","500"
"4005808324798","Nivea Lotion 125ml","Body lotion","Body Lotion",\N,\N,"Piece","165","250"
"8888202045744","Enchanteur Body Lotion S","Body lotion","Body Lotion",\N,\N,"Piece","280","420"
"8941100656563","Ponds Lotion 200ml","Body lotion","Body Lotion",\N,\N,"Piece","135","165"
"8941100656624","Vaseline Lotion 200ml","Body lotion","Body Lotion",\N,\N,"Piece","155","190"
"8941100619650","Vaseline Lotion 100ml","Body lotion","Body Lotion",\N,\N,"Piece","90","105"
"9556006060353","Johnsons Baby Lotion 200ml","Body lotion","Body Lotion",\N,\N,"Piece","220","330"
"9556006060346","Johnsons Baby Lotion 100ml","Body lotion","Body Lotion",\N,\N,"Piece","125","205"
"8901030596292","Pears Body wash","Body Wash","Body Wash",\N,\N,\N,"275","350"
"6281006486119","Pears Body wash","Body Wash","Body Wash",\N,\N,"Piece","275","350"
"5025970023274","Nivea After Shave","After Shave","After Shave",\N,\N,"Piece","295","430"
"6001051000890","Nivea After Shave","After Shave","After Shave",\N,\N,"Piece","280","325"
"4005808662067","Nivea After Shave","After Shave","After Shave",\N,\N,"Piece","280","350"
"3412242330055","Adidas After Shave","After Shave","After Shave",\N,\N,"Piece","300","450"
"3014260305697","Gillette After Shave","After Shave","After Shave",\N,\N,"Piece","450","630"
"5025970023281","Nivea After Shave","After Shave","After Shave",\N,\N,"Piece","305","350"
"8718114656311","AXE After Shave","After Shave","After Shave",\N,\N,"Piece","255","390"
"8712561196345","AXE After Shave","After Shave","After Shave",\N,\N,"Piece","255","390"
"8901314012876","Colgete Sensitive","ToothPaste","ToothPaste",\N,\N,"Piece","180","240.3"
"310158095163","Sensodyne Pest PRO EMAIL","ToothPaste","ToothPaste",\N,\N,"Piece","340","490"
"6926145224559","Cotton Swabs","Cotton Bud","Cotton Bud",\N,\N,"Piece","45","70"
"6970205640070","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","25","50"
"6939884002180","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","37","50"
"8941183007054","Fay Cotton Buds","Cotton Bud","Cotton Bud",\N,\N,"Piece","60","75"
"8941183007047","Fay Cotton Buds Box","Cotton Bud","Cotton Bud",\N,\N,"Piece","56","70"
"0005178","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","22","33"
"6926145202045","Xingyi Cotton Swabs","Cotton Bud","Cotton Bud",\N,\N,"Piece","50","100"
"6538565120085","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","40","60"
"6923262900052","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","50","90"
"6970205640018","Cotton Bud","Cotton Bud","Cotton Bud",\N,\N,"Piece","18","25"
"3401080720005","Jomii Cotton Buds","Cotton Bud","Cotton Bud",\N,\N,"Piece","55","90"
"3401080720012","Jomii Cotton Buds","Cotton Bud","Cotton Bud",\N,\N,"Piece","50","80"
"3014260000318","Gillettw Fome","Shaving Foam","Shaving Foam",\N,\N,"Piece","150","210"
"629110630237","Huda Beauty 3 in 1 Beauty Eye","Make Up","Make Up",\N,\N,"Piece","160","430"
"8420086709147","Just Gold 914","Make Up","Make Up",\N,\N,"Piece","1360","2450"
"8096554851382","Morphe Matte Liqued Lipstick","Make Up","Make Up",\N,\N,"Piece","140","240"
"01003008","Jordana Modern Matte Lipstick","Make Up","Make Up",\N,\N,"Piece","200","320"
"01002002","Jordana Foundation","Make Up","Make Up",\N,\N,"Piece","260","500"
"6291106030648","Huda Beauty Liquid Lipstick set","Make Up","Make Up",\N,\N,"Piece","1000","2500"
"0003428","Kylie Matte Liquid Lipstick","Make Up","Make Up",\N,\N,"Piece","75","150"
"0003429","Kylie Matte Liquid Lipstick","Make Up","Make Up",\N,\N,"Piece","350","525"
"8806390514439","IOPE Xp Foundation","Make Up","Make Up",\N,\N,"Piece","400","600"
"8801042656079","IOPE Eyebrow Auto Pencil","Make Up","Make Up",\N,\N,"Piece","205","310"
"8806403132148","IOPE Eyeliner","Make Up","Make Up",\N,\N,"Piece","155","235"
"8806403133053","IOPE Mascara","Make Up","Make Up",\N,\N,"Piece","155","235"
"6940670500032","Huda Beauty Eyeliner","Make Up","Make Up",\N,\N,"Piece","100","250"
"6291106080780","Huda Beauty Mascara","Make Up","Make Up",\N,\N,"Piece","120","240"
"6291106030655","Huda Beauty Lip Contour","Make Up","Make Up",\N,\N,"Piece","50","110"
"0003439","Kylie Highlighter","Make Up","Make Up",\N,\N,"Piece","450","690"
"635635453053","Morphe Lipstick","Make Up","Make Up",\N,\N,"Piece","550","935"
"0003441","Kylie Matte Liquid Lipstick + Lipliner","Make Up","Make Up",\N,\N,"Piece","110","250"
"635635456610","Morphe Mascara + Eyeliner","Make Up","Make Up",\N,\N,"Piece","200","380"
"0003443","Kylie Waterproof Eyeliner","Make Up","Make Up",\N,\N,"Piece","100","190"
"0003444","Rimmel Eyeliner","Make Up","Make Up",\N,\N,"Piece","150","240"
"6903072256020","Kill Black  Ryeliner","Make Up","Make Up",\N,\N,"Piece","120","220"
"0003446","Mack Kohl Kajal","Make Up","Make Up",\N,\N,"Piece","35","80"
"6946848260098","Steel Paris Blush On","Make Up","Make Up",\N,\N,"Piece","150","300"
"0003449","Mac Mascara","Make Up","Make Up",\N,\N,"Piece","120","220"
"8901030230134","Lakme 9 to 5 Loose Powder","Make Up","Make Up",\N,\N,"Piece","160","480"
"6978599861460","Kylie Eyebrow Powder","Make Up","Make Up",\N,\N,"Piece","250","430"
"635635454890","Morphe Eyeliner","Make Up","Make Up",\N,\N,"Piece","90","270"
