product_code,product_name,category_name,subcat_name,description,brand_name,unit_type,purchase_cost,sell_price,min_stock
"8901526102655","loreal paris","shampoo","loreal",\N,\N,"Piece","750","1050","1"
"8992304035371","loreal paris 450ml","shampoo","loreal",\N,\N,"Piece","380","570","2"
"6123571030109","fair & lovely 50 gm","cosmetics","fair & lovely",\N,\N,"Piece","118","129.8","2"
"8901030573484","Clinic Plus 340 ml","shampoo","Clinic Plus",\N,\N,"Piece","300","420","1"
"8901030573460","Clinic Plus 175 ml","shampoo","Clinic Plus s",\N,\N,"Piece","155","255","2"
"8901314077509","Colgate Plax 100 ml","Mouth Wash","Colgate Plax",\N,\N,"Piece","80","100","1"
"8901314077981","Colgate Plax 250 ml","Mouth Wash","Colgate Plax",\N,\N,"Piece","160","184","1"
"8906006432383","KIWI LINK","Shoe Link","Kiwi link",\N,\N,"Piece","100","120","1"
"8901526204151","Garnier Color Red 40 g","Hair colour","Garnier Color",\N,\N,"Piece","260","364","2"
"8901571004096","Sensodyne","Pest","Sensodyne",\N,\N,"Piece","155","195","1"
"8901314218605","Colgate Zigzag","Toothbrush","Zigzag",\N,\N,"Piece","35","50","1"
"8901314116345","Colgate Slimsoft","Toothbrush","Slim Soft",\N,\N,"Piece","85","119","1"
"8901030450990","Ponds Sandal 300 g","powder","Ponds sandal",\N,\N,"Piece","270","378","1"
"8901030450709","Ponds Sandal 100 g","powder","Ponds sandal",\N,\N,"Piece","110","143","1"
"8901030583896","Ponds Dreamflower 100 g","powder","Ponds Dreamfiower s",\N,\N,"Piece","110","160","1"
"8908001158077","WhiteTone 30g","powder","Whit tone",\N,\N,"Piece","70","110","1"
"8908001158299","WhiteTone 50g","powder","Whit tone",\N,\N,"Piece","105","150","1"
"8901088062398","Livon oil 100 ml","Hair Oil","Livon oil",\N,\N,"Piece","290","435","1"
"8901450003592","Envy1000","Body Spray","Envy1000",\N,\N,"Piece","180","234","1"
"8901030595783","Lakme eyeconin","Kajal","eyeconic",\N,\N,"Piece","210","350","1"
"6946537005757","Colossal","Kajal","Colossal",\N,\N,"Piece","180","300","1"
"8901138512460","Himalaya Neem Facewash 100 ml","Facewash","Himalaya",\N,\N,"Piece","162","250","1"
"8901138512187","Himalaya Neem Facewash 50 ml","Facewash","Himalaya",\N,\N,"Piece","78","110","1"
"8908001158954","FOGG MONARCH","Body Spray","FOGG",\N,\N,"Piece","210","330","2"
"8908001158596","fogg black ","Body Spray","FOGG",\N,\N,"Piece","270","335","1"
"8906014201407","keo karpin oil 300ml","Hair Oil","keo karpin",\N,\N,"Piece","195","280","1"
"7702018979202","Gillette Gel 200 ml","Saving Cream","Gillette Gel",\N,\N,"Piece","212","301.04","1"
"8851932290340","Dove Conditioner","Conditioner","Dove Conditioner",\N,\N,"Piece","250","250","1"
"079400206596","Dove Conditioner","Conditioner","Dove Conditioner",\N,\N,"Piece","360","486","1"
"6949301120403","Max Touch 2040","Make Up","Max Touch 2040",\N,\N,"Piece","7700","10780","1"
"6935367660809","Eyeshadow Kit","Make Up","Eye Shadow",\N,\N,"Piece","140","280","1"
"6958741931234","Kiss Touh Eyeshadow","Make Up","Eye Shadow",\N,\N,"Piece","115","230","1"
"041065502016","Jordana Eyeliner","Make Up","Jordana Eyeliner",\N,\N,"Piece","50","150","2"
"6905623813683","Ever Beauty Matte Lipstick","Make Up","Ever Beauty Matte Lipstick",\N,\N,"Piece","120","180","6"
"8901207004094","Dabur Gulabari 100 ml","Rose water","Dabur  Gulabari",\N,\N,"Piece","110","154","2"
"0001558","City Gold Ring","juwellary","City Gold Ring",\N,\N,"Piece","50","140","4"
"0001825","Damond Ring","juwellary","Diamond Ring",\N,\N,"Piece","50","150","1"
"0001811","Gold Ring","juwellary","Ring",\N,\N,"Piece","380","760","1"
"8717163537664","Brut Perfume","perfume","Brut Perfume",\N,\N,"Piece","480","750","1"
"6291100631735","cobra perfume","perfume","cobra",\N,\N,"Piece","135","243","3"
"3317986083093","feah cobra ","perfume","cobra",\N,\N,"Piece","135","243","6"
"3610400000233","cigar perfume","perfume","cigar",\N,\N,"Piece","680","1156","2"
"6281031091227","Fa Soap","SHOAP","Fa bar soap",\N,\N,"Piece","85","130","1"
"4015000914277","Fa body spray","Body Spray","Fa",\N,\N,"Piece","160","244.8","3"
"8410269918817","castor oil","Hair Oil","castor",\N,\N,"Piece","98","145","1"
"715387003000","hot cold perfume","perfume","hot cold",\N,\N,"Piece","580","754","2"
"025929127201","colour me ","perfume","colour me ",\N,\N,"Piece","720","1080","2"
"3355992000260","lapidus ladies perfume","perfume","lapidus ",\N,\N,"Piece","1120","1460","1"
"6291104355125","blu fashion ladies perfume","perfume","blu fashion",\N,\N,"Piece","450","675","2"
"8857101125703","whitening facewash","Facewash","whitening face wash",\N,\N,"Piece","127","185","1"
"4902806000269","gatsby 300ml","hair gel","hair  gel",\N,\N,"Piece","130","234","3"
"6085010045047","sunblock cream ","Fairness Cream","sunblock ",\N,\N,"Piece","125","175","6"
"5012874248582","David Bekham Body Spray","Body Spray","beckham",\N,\N,"Piece","280","420","1"
"614514140017","Blue Lady  Perfume","perfume","perfume ",\N,\N,"Piece","620","950","1"
"5414666010061","saint","perfume","perfume ",\N,\N,"Piece","400","750","3"
"5414666010405","Cuban Glory","perfume","perfume ",\N,\N,"Piece","400","750","1"
"8903105001137","Yardley Body Perfume","perfume","perfume ",\N,\N,"Piece","350","385","1"
"4565343211750","species  women ","perfume","species",\N,\N,"Piece","270","650","1"
"6281056175704","prophecy","perfume","prophecy",\N,\N,"Piece","420","630","2"
"614514060018","blue lady spray","Body Spray","blue lady bodyspray",\N,\N,"Piece","195","335","1"
"3700082500135","marquis","Body Spray","bodyspray",\N,\N,"Piece","172","280","1"
"8850007010715","johnsons powder 2 in 1 ","powder","johnsons powder",\N,\N,"Piece","400","600","2"
"8850007100140","johnsons gift box","Johnsons Baby","johnsons gift box",\N,\N,"Piece","690","1050","2"
"8691313020124","Orkide oil","Hair Oil","Olive oil",\N,\N,"Piece","155","200.11","2"
"2032150258756","Johnsons olive Oil","Olive Oil","Olive Oil",\N,\N,"Piece","190","250.01","1"
"0000418","PATY","Wedding Accessories","PATY",\N,\N,"Piece","40","80","3"
"00001911355","world class wallets","money bag","black",\N,\N,"Piece","450","675","1"
"0001974355669","balisi","money bag","black",\N,\N,"Piece","330","495","1"
"00006578","fuerdanni","money bag","black",\N,\N,"Piece","380","532","1"
"6951035100538","beautiful eyelashes","eyelash","false eyelash",\N,\N,"Piece","10","40","5"
"A27070873502018005A","mac eye lashes","eyelash","mac",\N,\N,"Piece","12.5","37","30"
"001930621778","mac eye lashes glu","eyelash","mac",\N,\N,"Piece","34","98.6","3"
"0003911","Gopinath panc- cake","Make Up","panc cake ",\N,\N,"Piece","57","115","2"
"0001915223133","eye lash glu ","eyelash","false eyelash glu",\N,\N,"Piece","8","15.2","2"
"14523663984","duck lay an egg","Toy","duck ",\N,\N,"Piece","300","480","1"
"0000431","doremon charger car","Toy","doremon  car",\N,\N,"Piece","650","975","1"
"0000432","millennium","Toy","computer game",\N,\N,"Piece","170","255","1"
"0000436","Military Car","Toy","Military Car",\N,\N,"Piece","850","1275",\N
"0000489","england","Wedding Accessories","laques",\N,\N,"Piece","700","1001","1"
"0000497","fita","fita","fita",\N,\N,"Piece","15","40","2"
"5000309002755","Veet Hair Removal Cream","Hair Removal Cream","Veet 100g",\N,\N,"Piece","205","290","1"
"0003082","Linco Powder Case","Powder Case","Linku Powder Case",\N,\N,"Piece","50","100","1"
"8901012187012","Clean&Clear","Facewash","Clean&Clear",\N,\N,"Piece","75","112.5","1"
"8901012188118","Clean&Clear","Facewash","Clean&Clear",\N,\N,"Piece","165","260","2"
"8908001158473","Glam Up","CREAM","Glam-Up",\N,\N,"Piece","160","235.2","1"
"8901012189030","Clean&Clear","Fairness Cream","Clean&Clear",\N,\N,"Piece","185","280","2"
"8139003001027","Savlon","SHOAP","Savlon",\N,\N,"Piece","35","45","1"
"8992745320692","Stella","Air Freshner","Air Freshner",\N,\N,"Piece","230","299","1"
"8992745325406","Stella matic  ","Air Freshner","Air Freshner",\N,\N,"Piece","680","799","1"
"3574660136210","Sexy Men","perfume","Sexy Men",\N,\N,"Piece","580","1015","1"
"8994706012813","President 8407 24\"","Travel Bag","President",\N,\N,"Piece","5100","6100.01","1"
"0001524","Hair band","Hair","Hair Band",\N,\N,"Piece","0.8","4.8","20"
"0001525","Hair band","Hair","Hair Band",\N,\N,"Piece","10","20","20"
"0001526","Hair band","Hair","Hair Band",\N,\N,"Piece","5","9","10"
"7610196019217","Trisa Swiss Clean","Toothbrush","Toothbrush",\N,\N,"Piece","88","130","1"
"8901314019257","colgate ","Pest","Pest",\N,\N,"Piece","142","160","2"
"8941100501214","Meril Baby Pest","Pest","Pest",\N,\N,"Piece","56","70","1"
"3610400000257","Cigar Bodyspray","Body Spray","Body Spray",\N,\N,"Piece","150","200.25","2"
"8941100648643","LUX Soap 150 g","SHOAP","Soap",\N,\N,"Piece","38","42.01","1"
"8901725921736","Fiama Bars","SHOAP","Soap",\N,\N,"Piece","110","145","1"
"8941100650059","Lux Soap 100g ","SHOAP","Soap",\N,\N,"Piece","27.5","30","1"
"7501056371821","Dove Soap 135 g","SHOAP","Soap",\N,\N,"Piece","75","110","1"
"8851932273664","Sunsilk 340ml","shampoo","Shampoo",\N,\N,"Piece","340","510","1"
"8851932300391","Sunsilk 320ml","shampoo","Shampoo",\N,\N,"Piece","300","510","1"
"8850195710022","Tabu Powder 100g","powder","Powder",\N,\N,"Piece","200","300","1"
"8901030323874","Ponds Oil Controll Powder 100g","powder","Powder",\N,\N,"Piece","125","165","2"
"4005808813698","Nivea Men Facewash Deep Clean","Facewash","Facewash",\N,\N,"Piece","185","300.07","1"
"8901526203574","GarnierMen PowderWhite 100g","Facewash","Facewash",\N,\N,"Piece","175","280","2"
"8901526211760","Garnier DoubleAction 100g","Facewash","Facewash",\N,\N,"Piece","220","315","1"
"8901526211555","Garnier PureActive Neem+Tulsi 50g","Facewash","Facewash",\N,\N,"Piece","80","130.4","1"
"8991380232131","Loreal Men Expert Facewash 100ml","Facewash","Facewash",\N,\N,"Piece","285","350","2"
"4005900181305","Nivia man fswas","Facewash","Facewash",\N,\N,"Piece","325","450.13","1"
"11238300","Due Fairness cream","Fairness Cream","Fairness Cream",\N,\N,"Piece","215","330","1"
"5011321868175","Olay Natural White Day Cream","Fairness Cream","Fairness Cream",\N,\N,"Piece","330","495","1"
"6928573339935","Adora chocolate 100g","Chocolate","Chocolate",\N,\N,"Piece","95","152","2"
"9501034000901","Eclairs","Chocolate","Chocolate",\N,\N,"Piece","145","220.41","1"
"9556138001675","Fruits","Chocolate","Chocolate",\N,\N,"Piece","90","126","2"
"0001197","Ladies Purse","Ladies Purse","Ladies Purse",\N,\N,"Piece","580","1160","1"
"8994706028647","President 1069 24\"","Travel Bag","Travel Bag",\N,\N,"Piece","3200","3700.48","1"
"8994706031463","President 9072 16\"","Travel Bag","Travel Bag",\N,\N,"Piece","3800","4600.28","1"
"8994706026513","presidrnt ","Travel Bag","Travel Bag",\N,\N,"Piece","4900","5800.13","1"
"0001151","Towel","Towel","Towel",\N,\N,"Piece","340","575","2"
"8901030376221","Ponds Age Miracal 35","CREAM","Cream",\N,\N,"Piece","480","620.16","1"
"0001154","Pretty Girl","Toy","Toy",\N,\N,"Piece","200","320","1"
"0001155","Talk Parrot","Toy","Toy",\N,\N,"Piece","350","550.2","1"
"0002155","crazy car","Toy","Toy",\N,\N,"Piece","230","345","1"
"0003028","Helicopter","Toy","Toy",\N,\N,"Piece","2200","3520","1"
"1512200045","City Gold LocketChain","Accessories","Accessories",\N,\N,"Piece","200","420","2"
"4902806000313","Gatsby Hard Hair Gel 150g","Hair","Hair",\N,\N,"Piece","85","130.05","2"
"0001149","Tayas love fill","Fill","Fill",\N,\N,"Piece","380","494","1"
"0001568","Fake Sale ftw","Fill","Fill",\N,\N,"Piece","11829","11829","1"
"0001153","Heli coupter","hely coupter","expert",\N,\N,"Piece","1080","1782",\N
"3574660420951","Johnsons Baby Lotion 500 ml","Body lotion","Body Lotion",\N,\N,"Piece","365","530.02","1"
"3574660453157","Jhons baby lotion 300ml","Body lotion","Body Lotion",\N,\N,"Piece","225","320","1"
"8901030560590","Vaseline Intensive Care 300ml","Body lotion","Body Lotion",\N,\N,"Piece","240","460","1"
"8717163962039","Bruit Aftershave","After Shave","After Shave",\N,\N,"Piece","265","320.12","1"
"6946844501188","Vitamin E Capsule","Capsule","Capsule",\N,\N,"Piece","60","120","1"
"0001359","Tip Kusum Suhang Galaxy","Tip","Tip",\N,\N,"Piece","20","70","9"
"0001542","Pencil Lipstick ","Make Up","Make Up",\N,\N,"Piece","24","72","10"
"6900502382120","Davi Waterproof Eyeliner Pencil","Make Up","Make Up",\N,\N,"Piece","7","30","2"
"836558005019 2","Lakme Matte Lipstick 2x","Make Up","Make Up",\N,\N,"Piece","35","120","10"
"6999670818456","Excel WaterProof Lipgloss","Make Up","Make Up",\N,\N,"Piece","20","60","4"
"8850007100133","Jhonsons Baby bath time","Gift Set","Gift Set",\N,\N,"Piece","480","720","1"
"6936815202190","Toothpick Small","Tooth","Tooth",\N,\N,"Piece","14","20","5"
"3401080719986","Saki","Tooth","Tooth",\N,\N,"Piece","35","70","2"
"0002085","Gucci Wallet","Wallet","Wallet",\N,\N,"Piece","290","464","1"
"0002307","Seiko Clock","Watches","Watch",\N,\N,"Piece","1340","2010","1"
"0002405","Hijab Pin","Hijab","Hijab",\N,\N,"Piece","2","5","2"
"0001225","City Gold Earing","juwellary","juwellary",\N,\N,"Piece","220","360.01","2"
"0001505","Hair Clip gold","Hair Clip","Hair Clip",\N,\N,"Piece","8","16","10"
"0000637","Gold Plate Necklace Set","Necklace","Necklace Set",\N,\N,"Piece","1100","3080","1"
"0000645","City Gold Necklace","Necklace","Necklace Set",\N,\N,"Piece","680","1360","1"
"0001061","Kundon Mala","Necklace","Necklace Set",\N,\N,"Piece","180","360","1"
"0001815","Daymon Locket C.","Necklace","Necklace Set",\N,\N,"Piece","180","500.4","1"
"8901030463419","Lakme Facepowder","Make Up","Facepowder",\N,\N,"Piece","90","630","2"
"0001562","Nivia man fswas","Make Up","Facepowder",\N,\N,"Piece","325","450.13","1"
"8901030231124","Lakme 9to5 Face poeder","Make Up","Facepowder",\N,\N,"Piece","95","630","1"
"0000234","Hijab Clip","Hair Clip","saree",\N,\N,\N,"24","42","6"
"0002392","Saruane panjabe","silk","saree",\N,\N,\N,"2400","3120","1"
"8855629363737","white spa lotion","cosmetics","loution",\N,\N,\N,"140","210","1"
"8901030547492","axe signature","perfume","axe",\N,\N,\N,"270","380.7","2"
"8901030421402","tresemme 580ml","shampoo","tresemme",\N,\N,\N,"580","750.06","1"
